# Matrix Size, Create Matrix Time (s), Matrix Multiplication Time (s), Gflops
2, 5.834e-06, 0, inf
4, 7.92e-07, 1.66e-07, 0.674699
7, 1.708e-06, 3.34e-07, 1.90719
11, 3.666e-06, 1.625e-06, 1.56369
16, 7.709e-06, 9.58e-07, 8.28392
22, 1.25e-05, 4.875e-06, 4.26913
29, 2.2083e-05, 5.875e-06, 8.15949
37, 3.5084e-05, 1.0625e-05, 9.40584
46, 5.3917e-05, 1.7208e-05, 11.1899
56, 7.7417e-05, 2.2208e-05, 15.6744
67, 0.000110208, 2.9375e-05, 20.3247
79, 0.000153916, 6.5917e-05, 14.8647
92, 0.00020825, 8.525e-05, 18.1691
106, 0.000270708, 0.000117958, 20.0986
121, 0.000367167, 0.000170667, 20.6747
137, 0.000437791, 0.000226458, 22.6264
154, 0.000561208, 0.000326208, 22.3195
172, 0.000683167, 0.000469042, 21.6341
191, 0.00086, 0.000775042, 17.9336
211, 0.00104496, 0.00081325, 23.0475
232, 0.00127704, 0.00114975, 21.6747
254, 0.00155863, 0.00162071, 20.1823
277, 0.00179217, 0.00228054, 18.6057
301, 0.00211225, 0.00317108, 17.1712
326, 0.0024775, 0.00361417, 19.1429
352, 0.00283929, 0.00421963, 20.6427
379, 0.00333979, 0.00490121, 22.1856
407, 0.00381608, 0.00700571, 19.2233
436, 0.00439692, 0.00823742, 20.1002
466, 0.00500754, 0.00882083, 22.9199
497, 0.00575033, 0.0100458, 24.4163
529, 0.00654871, 0.0138918, 21.2925
562, 0.00748025, 0.0166996, 21.2396
596, 0.00819033, 0.0173865, 24.3327
631, 0.0090995, 0.020756, 24.1897
667, 0.0105796, 0.0288018, 20.5903
704, 0.0116112, 0.0311057, 22.4181
742, 0.0126852, 0.0332665, 24.5438
781, 0.0139637, 0.0441181, 21.5818
821, 0.0155172, 0.0483539, 22.8751
862, 0.0170193, 0.0543064, 23.5748
904, 0.018902, 0.0636425, 23.2032
947, 0.0204846, 0.0695874, 24.3961
991, 0.0223086, 0.0819422, 23.7424
1036, 0.0245229, 0.0940915, 23.6238
1082, 0.0268979, 0.10527, 24.0551
1129, 0.0289397, 0.117457, 24.4929
1177, 0.0316498, 0.137533, 23.701
1226, 0.0342606, 0.154759, 23.805
1276, 0.037215, 0.174783, 23.7636
1327, 0.0417906, 0.200022, 23.3562
1379, 0.0434812, 0.216806, 24.1821
1432, 0.0467104, 0.250535, 23.4336
1486, 0.0502572, 0.283112, 23.173
1541, 0.0543175, 0.325464, 22.4799
1597, 0.0580884, 0.366532, 22.2176
1654, 0.0620685, 0.410774, 22.0243
1712, 0.0677541, 0.473786, 21.1754
1771, 0.0714081, 0.51245, 21.6726
1831, 0.0775797, 0.565742, 21.6949
1892, 0.0815105, 0.610783, 22.1713
1954, 0.0882823, 0.678264, 21.9935
2017, 0.0935924, 0.743242, 22.0755
2081, 0.0999795, 0.789481, 22.8244
2146, 0.105954, 0.848069, 23.3016
2212, 0.112471, 0.918144, 23.5709
2279, 0.11825, 0.995032, 23.7865
2347, 0.125755, 1.09947, 23.5122
2416, 0.134085, 1.26778, 22.2427
2486, 0.141837, 1.35092, 22.7414
2557, 0.14931, 1.41176, 23.6798
2629, 0.158061, 1.52585, 23.8126
2702, 0.167648, 1.67802, 23.5076
2776, 0.176041, 1.80874, 23.6501
2851, 0.185799, 1.95822, 23.6638
2927, 0.195631, 2.11315, 23.7298
3004, 0.20614, 2.30435, 23.5239
3082, 0.217791, 2.48519, 23.5558
3161, 0.228009, 2.69394, 23.4449
3241, 0.240033, 2.88906, 23.5637
3322, 0.251615, 3.12458, 23.4624
3404, 0.264105, 3.38101, 23.3286
3487, 0.278317, 3.64838, 23.2393
3571, 0.291897, 3.87395, 23.5063
3656, 0.30704, 4.48261, 21.8001
3742, 0.321481, 4.57176, 22.9192
3829, 0.337842, 4.89076, 22.9537
3917, 0.350294, 5.35616, 22.4379
4006, 0.368683, 5.60895, 22.9207
4096, 0.38647, 5.95414, 23.0801
4187, 0.454259, 6.5007, 22.5801
4279, 0.424736, 6.91408, 22.6606
4372, 0.452643, 7.34595, 22.7496
4466, 0.462189, 7.89386, 22.5657
4561, 0.486696, 8.4318, 22.5031
4657, 0.512588, 8.92009, 22.6429
4754, 0.535516, 9.54741, 22.5049
4852, 0.555556, 10.1575, 22.4885
4951, 0.578558, 10.8541, 22.36
5051, 0.604427, 11.5416, 22.3282
5152, 0.616332, 12.4753, 21.9213
5254, 0.655051, 13.2243, 21.9323
5357, 0.679212, 14.2785, 21.5314
5461, 0.698127, 14.6586, 22.2185
5566, 0.727159, 15.6581, 22.0232
5672, 0.752032, 16.5756, 22.0156
5779, 0.786255, 17.3989, 22.1834
5887, 0.824448, 18.4902, 22.0665
5996, 0.858371, 19.5847, 22.0121
6106, 0.880102, 20.4748, 22.2354
6217, 0.919358, 21.9592, 21.8837
6329, 0.948289, 23.3019, 21.7576
6442, 0.993494, 24.4961, 21.8253
6556, 1.00841, 25.6157, 21.9992
6671, 1.04497, 27.1346, 21.88
6787, 1.10115, 28.3365, 22.0641
6904, 1.14805, 29.6868, 22.1685
7022, 1.16399, 31.246
