# Matrix Size, Create Matrix Time (s), Matrix Multiplication Time (s), Gflops
2, 4.833e-06, 8.4e-08, 0.142857
4, 1e-06, 1.25e-07, 0.896
7, 2.083e-06, 4.17e-07, 1.52758
11, 3.834e-06, 1.709e-06, 1.48683
16, 6.875e-06, 9.58e-07, 8.28392
22, 1.4166e-05, 4.625e-06, 4.49989
29, 2.225e-05, 5.875e-06, 8.15949
37, 3.4542e-05, 1.0667e-05, 9.3688
46, 5.225e-05, 1.7209e-05, 11.1893
56, 7.8208e-05, 2.2209e-05, 15.6736
67, 0.000109875, 2.9459e-05, 20.2667
79, 0.000153958, 6.575e-05, 14.9025
92, 0.000208625, 8.8792e-05, 17.4443
106, 0.000274542, 0.00012225, 19.393
121, 0.0003535, 0.000169542, 20.8118
137, 0.000452792, 0.000238166, 21.5141
154, 0.0005685, 0.000336458, 21.6396
172, 0.000703833, 0.000471334, 21.5289
191, 0.000856625, 0.000786167, 17.6798
211, 0.00108962, 0.000828791, 22.6153
232, 0.00136712, 0.00121071, 20.5834
254, 0.00155238, 0.00191492, 17.0815
277, 0.00229096, 0.00290246, 14.619
301, 0.00217854, 0.00334333, 16.2865
326, 0.00256096, 0.00385367, 17.9532
352, 0.00295638, 0.00423892, 20.5488
379, 0.00356121, 0.00506108, 21.4848
407, 0.004039, 0.00700533, 19.2243
436, 0.00464567, 0.00823637, 20.1027
466, 0.00532012, 0.0100107, 20.1957
497, 0.00578917, 0.0102372, 23.9597
529, 0.006831, 0.0147598, 20.0404
562, 0.00798546, 0.0177894, 19.9384
596, 0.008603, 0.0180749, 23.4061
631, 0.00912592, 0.0209264, 23.9927
667, 0.0106283, 0.0288635, 20.5463
704, 0.0115665, 0.0313205, 22.2644
742, 0.0126358, 0.0332987, 24.5201
781, 0.0141127, 0.0445098, 21.3919
821, 0.0154917, 0.0486992, 22.7129
862, 0.017084, 0.0543646, 23.5496
904, 0.0187798, 0.0663244, 22.265
947, 0.0205097, 0.0756134, 22.4518
991, 0.0224866, 0.0822065, 23.666
1036, 0.0247459, 0.0940123, 23.6437
1082, 0.0269313, 0.105216, 24.0675
1129, 0.0291424, 0.117417, 24.5012
1177, 0.0317023, 0.135337, 24.0856
1226, 0.0347335, 0.154607, 23.8283
1276, 0.0374241, 0.170062, 24.4234
1327, 0.0401706, 0.203109, 23.0011
1379, 0.0432794, 0.219821, 23.8505
1432, 0.0465102, 0.258812, 22.6841
1486, 0.05025, 0.282491, 23.2239
1541, 0.0549947, 0.323785, 22.5964
1597, 0.0580519, 0.366037, 22.2476
1654, 0.0623426, 0.404522, 22.3647
1712, 0.0668914, 0.473754, 21.1769
1771, 0.072433, 0.516195, 21.5154
1831, 0.0773312, 0.58583, 20.951
1892, 0.0826093, 0.604856, 22.3886
1954, 0.0884607, 0.682838, 21.8461
2017, 0.0927776, 0.748135, 21.9311
2081, 0.0996487, 0.819785, 21.9807
2146, 0.106025, 0.906498, 21.7997
2212, 0.112558, 0.912585, 23.7145
2279, 0.119738, 0.997439, 23.7291
2347, 0.126458, 1.09391, 23.6316
2416, 0.13424, 1.20255, 23.4491
2486, 0.140716, 1.29062, 23.8038
2557, 0.149263, 1.43269, 23.3338
2629, 0.161172, 1.5425, 23.5556
2702, 0.16809, 1.72171, 22.911
2776, 0.176775, 1.84026, 23.2451
2851, 0.186907, 2.02851, 22.8438
2927, 0.196103, 2.18656, 22.9331
3004, 0.207009, 2.36757, 22.8958
3082, 0.217719, 2.57784, 22.7092
3161, 0.232742, 2.80469, 22.519
3241, 0.245978, 3.05422, 22.2894
3322, 0.256553, 3.2395, 22.6301
3404, 0.26732, 3.62396, 21.7647
3487, 0.278944, 3.95694, 21.4272
3571, 0.300328, 4.45551, 20.4381
3656, 0.305558, 4.64587, 21.034
3742, 0.319456, 4.98978, 20.9992
3829, 0.33762, 5.31458, 21.1233
3917, 0.356825, 5.86162, 20.503
4006, 0.37133, 6.18974, 20.77
4096, 0.391525, 6.51603, 21.0899
4187, 0.404114, 7.10652, 20.6552
4279, 0.445145, 7.7125, 20.3147
4372, 0.44481, 8.19018, 20.4046
4466, 0.465888, 8.74428, 20.3711
4561, 0.479526, 9.32295, 20.3521
4657, 0.505131, 9.86611, 20.4718
4754, 0.52261, 10.6257, 20.221
4852, 0.574955, 11.2809, 20.249
4951, 0.572554, 11.9965, 20.2307
5051, 0.594301, 12.8494, 20.0557
5152, 0.618108, 13.4079, 20.3964
5254, 0.648351, 14.3294, 20.241
5357, 0.680268, 15.1947, 20.2331
5461, 0.70007, 16.0307, 20.3168
5566, 0.723411, 17.1827, 20.0692
5672, 0.756044, 17.9556, 20.3236
5779, 0.783348, 18.9137, 20.4067
5887, 0.814496, 20.2983, 20.1009
5996, 0.842507, 21.1678, 20.3659
6106, 0.884528, 22.3782, 20.3441
6217, 0.920223, 23.5142, 20.4365
6329, 0.933752, 25.1183, 20.1842
6442, 0.972666, 26.4684, 20.1991
6556, 1.01091, 27.8511, 20.2335
6671, 1.04997, 29.49, 20.1324
6787, 1.09414, 30.9504, 20.2007
6904, 1.1158, 32.6597, 20.1506
7022, 1.16441, 34.3792, 20.1412
7141, 1.22018, 35.8681, 20.3034
7261, 1.24674, 37.8512, 20.226
7382, 1.28575, 39.6839, 20.2726
7504, 1.31773, 41.8712, 20.182
7627, 1.38223, 44.0498, 20.1428
7751, 1.41184, 46.1412, 20.183
7876, 1.46214, 48.291, 20.2327
8002, 1.50432, 50.8172, 20.1645
8129, 1.56002, 53.0377, 20.2549
8257, 1.64668, 75.6391, 14.8842
8386, 1.69522, 77.7515, 15.1691
8516, 1.75748, 80.0421, 15.431
8647, 1.8241, 82.9748, 15.5832
8779, 1.85542, 86.0517, 15.7247
8912, 1.90745, 88.8529, 15.9316
9046, 1.97535, 92.7835, 15.9553
9181, 2.02527, 97.4762, 15.8773
9317, 2.08097, 101.125, 15.9948
9454, 2.1351, 105.335, 16.0428
9592, 2.18319, 109.778, 16.0775
9731, 2.27892, 113.758, 16.1993
9871, 2.34574, 118.962, 16.1689
