# Matrix Size, Matrix Multiplication Time (s), Gflops
2, 1e-06, 0.012
4, 1e-06, 0.112
8, 1e-06, 0.96
10, 2e-06, 0.95
20, 1e-05, 1.56
30, 2e-05, 2.655
40, 4.4e-05, 2.87273
50, 7.8e-05, 3.17308
60, 0.000143, 2.9958
70, 0.000226, 3.01372
80, 0.000351, 2.89915
90, 0.000503, 2.8825
100, 0.000687, 2.89665
110, 0.001017, 2.6056
120, 0.001329, 2.58962
140, 0.002146, 2.54818
180, 0.004786, 2.43034
200, 0.007248, 2.20199
250, 0.014254, 2.18798
300, 0.024781, 2.17546
350, 0.039859, 2.14826
400, 0.060025, 2.12978
