Matrix Size, Create Matrix Time (s), Matrix Multiplication Time (s), Mflops
100, 0.000246833, 7.4333e-05, 26771.4
100, 0.000248958, 7.4125e-05, 26846.5
100, 0.000242958, 7.4333e-05, 26771.4
100, 0.000285625, 7.4458e-05, 26726.5
100, 0.000242958, 7.4166e-05, 26831.7
100, 0.000242333, 8.6458e-05, 23017
100, 0.000243583, 7.4291e-05, 26786.6
100, 0.000242166, 7.4209e-05, 26816.2
100, 0.000245167, 7.4208e-05, 26816.5
100, 0.000236375, 7.1625e-05, 27783.6
100, 0.000235916, 7.1625e-05, 27783.6
100, 0.000233875, 7.2083e-05, 27607.1
100, 0.000242625, 7.4208e-05, 26816.5
